Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,45.967,52.544,55.298,58.361,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,73.144,74.362,75.404,76.621,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,67.416,67.454,70.478,72.061,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,41.893,45.849,46.024,51.57,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.492,73.636,74.606,75.825,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.784,73.133,73.926,75.139,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,68.821,69.311,70.624,71.792,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.076,73.349,73.569,73.811,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.9946341463415,77.8292682926829,79.2341463414634,80.8414634146341,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,75.5682926829269,76.6682926829268,78.1268292682927,79.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,62.352,62.305,64.891,67.562,69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,70.133,70.763,72.041,72.765,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,72.668,73.799,75.496,76.931,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,55.989,59.467,65.779,67.299,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,72.752,73.298,74.089,74.89,75.712,75.917,76.099,76.275,76.476,76.65,76.815,76.936
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.8365853658537,68.4609756097561,68.9121951219512,68.8512195121951,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,76.0519512195122,76.8407317073171,77.7219512195122,78.9804878048781,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,70.744,69.887,68.564,69.376,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,53.292,55.295,56.578,57.125,58.363,58.462,58.716,58.965,59.125,59.377,59.539,59.856
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,..,..,77.8853658536585,78.6853658536586,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,81.4419512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,55.968,59.516,62.01,65.805,68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,56.422,59.534,62.346,64.386,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,72.349,70.284,74.496,75.42,77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,60.533,55.059,51.011,52.61,60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,65.985,67.919,69.737,71.753,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,73.927,74.24,73.966,74.723,75.428,75.486,75.532,75.574,75.612,75.675,75.724,74.785
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,71.656,72.816,74.08,74.731,74.849,74.858,74.827,74.799,74.779,74.75,74.733,74.722
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.6414634146342,71.0534146341463,71.6634146341463,72.5609756097561,73.5121951219512,74.1634146341463,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,49.44,49.446,50.847,53.092,56.477,57.125,57.619,57.823,58.359,58.845,59.326,59.536
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,44.86,44.059,47.514,53.023,57.081,57.769,58.493,59.235,59.868,60.217,60.793,61.553
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,65.023,64.093,68.618,72.68,73.499,74.257,74.484,75.059,75.24,74.62,75.742,76.593
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,55.434,56.308,58.625,64.293,67.712,68.416,68.915,69.304,69.736,69.873,70.224,70.515
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,54.868,53.222,52.932,54.362,56.582,57.133,57.792,58.476,58.935,59.658,60.233,60.81
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,77.4219512195122,78.0292682926829,79.1365853658537,80.1926829268293,81.2463414634146,81.4487804878049,81.6487804878049,81.7487804878049,81.8,81.9,81.9,81.9
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,..,..,..,82.190243902439,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,49.635,47.35,45.406,46.433,49.255,49.948,50.686,50.902,50.566,52.793,53.46,53.721
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,44.686,46.711,47.443,48.312,49.584,50.009,50.54,50.781,51.202,51.589,52.083,52.308
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,77.185,77.749,79.155,80.344,81.12,81.726,81.339,81.516,81.884,81.433,81.366,81.331
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,72.574,74.609,76.87,78.016,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,68.005,70.008,71.881,74.111,75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,68.644,69.933,71.32,73.081,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,55.84,58.015,58.757,59.604,61.123,61.503,61.834,62.224,62.516,62.896,63.237,63.625
